Professor,Average Rating,Mode Rating,Department,Would Take Again,Level of Difficulty,Num Ratings,School
f1daed44,4.0,4.0,Political Science,93%,2.6,62,UC San Diego
40fa3018,3.1,3.1,Biology,55%,3.3,42,UC San Diego
8e41865c,4.1,4.1,Anthropology,90%,2.6,38,UC San Diego
2244b90f,4.0,4.0,Humanities,76%,3.7,37,UC San Diego
6423c1b9,4.4,4.4,History,83%,2.5,35,UC San Diego
25ecd795,4.8,4.8,International Studies,94%,1.9,32,UC San Diego
248b5d14,3.0,3.0,Mathematics,49%,3.2,27,UC San Diego
63919305,2.5,2.5,Literature,27%,3.8,23,UC San Diego
d4494aa2,2.9,2.9,Communication,41%,3.1,22,UC San Diego
3aa7b7ac,1.4,1.4,Computer Science,12%,3.7,17,UC San Diego
6f47e79a,4.3,4.3,Economics,80%,3.1,15,UC San Diego
9d267118,4.9,4.9,Engineering,100%,2.2,13,UC San Diego
fc951039,3.5,3.5,Engineering,34%,2.7,10,UC San Diego
5f09224f,3.9,3.9,Engineering,60%,3,9,UC San Diego
cc8b4486,5.0,5.0,Communication,100%,1,9,UC San Diego
db61a92b,3.3,3.3,Anthropology,56%,2.8,9,UC San Diego
1045ae47,4.8,4.8,Economics,100%,2.6,8,UC San Diego
97016320,4.9,4.9,History,100%,2.1,7,UC San Diego
eb5f434c,4.7,4.7,Mathematics,100%,2.6,7,UC San Diego
02bdb95f,5.0,5.0,Writing,100%,1.8,4,UC San Diego
a11441eb,4.7,4.7,Art History,91%,2.1,93,UC San Diego
3c44b7d2,2.4,2.4,Management,23%,3.8,65,UC San Diego
3ca1a752,4.5,4.5,Psychology,86%,2.9,48,UC San Diego
c8929fc3,2.3,2.3,Cognitive Science,35%,3.2,29,UC San Diego
d9f64853,4.2,4.2,Languages,72%,2.6,24,UC San Diego
4cc04433,2.2,2.2,Mathematics,37%,3.6,22,UC San Diego
b23dfe31,3.2,3.2,Music,40%,2.4,17,UC San Diego
6ec26db9,5.0,5.0,English,100%,2.4,15,UC San Diego
a7bea93c,5.0,5.0,Writing,100%,2.5,6,UC San Diego
047d7996,5.0,5.0,History,100%,2,4,UC San Diego
1ee89c8b,5.0,5.0,Writing,100%,2,1,UC San Diego
83b2fa68,5.0,5.0,Engineering,100%,4,1,UC San Diego
43ffbe47,4.1,4.1,Science,50%,3.1,44,UC San Diego
c3021d30,4.7,4.7,History,91%,2.4,29,UC San Diego
10253998,5.0,5.0,Literature,100%,1.6,11,UC San Diego
5d949453,3.7,3.7,Psychology,56%,3.7,9,UC San Diego
6809ca1b,2.8,2.8,Ethnic Studies,50%,4,9,UC San Diego
a4dc51b3,5.0,5.0,Urban Studies,100%,2.3,3,UC San Diego
773d0f3b,4.7,4.7,Literature,100%,1.7,3,UC San Diego
9780a9d1,5.0,5.0,Music,100%,1.1,121,UC San Diego
08015335,3.4,3.4,Psychology,49%,3,77,UC San Diego
ab2a6e9f,2.5,2.5,Chemistry,35%,4.3,75,UC San Diego
d1a7e96e,3.5,3.5,Computer Science,63%,3.2,67,UC San Diego
a0a6dcc2,3.1,3.1,Education,45%,2.8,21,UC San Diego
1be0d8af,2.5,2.5,Chemistry,35%,3.6,20,UC San Diego
1af8e209,4.3,4.3,Political Science,83%,2.1,18,UC San Diego
cd5a9a93,4.4,4.4,Mathematics,94%,3.3,16,UC San Diego
4a6e7f16,1.9,1.9,Computer Science,15%,3.1,14,UC San Diego
3ded176b,4.5,4.5,Literature,100%,2.2,12,UC San Diego
264da670,4.6,4.6,Mathematics,80%,2.8,10,UC San Diego
c2f37a77,2.8,2.8,Business,50%,3.2,6,UC San Diego
19d88679,1.8,1.8,Writing,20%,2.6,5,UC San Diego
76354118,1.0,1.0,Urban Studies,0%,4.3,3,UC San Diego
23fd9c38,3.9,3.9,Biology,58%,3.2,95,UC San Diego
22c29808,4.5,4.5,Accounting,83%,2.6,72,UC San Diego
c5a5e488,4.3,4.3,Computer Science,83%,3,57,UC San Diego
b96ba3cd,3.3,3.3,Psychology,46%,3.9,52,UC San Diego
d652c5ce,4.9,4.9,Mathematics,100%,2.7,46,UC San Diego
da385412,3.3,3.3,Biology,36%,3.5,45,UC San Diego
81e826ff,3.6,3.6,Mathematics,57%,3.1,43,UC San Diego
d52444fb,2.8,2.8,Communication,34%,2.7,43,UC San Diego
d056180e,3.8,3.8,Biology,72%,2.6,14,UC San Diego
50d69299,4.2,4.2,Business,70%,3.5,13,UC San Diego
4e833a0e,4.8,4.8,Computer Science,100%,2.1,9,UC San Diego
5027c235,2.7,2.7,Humanities,50%,2.3,6,UC San Diego
6c33dd9b,5.0,5.0,Ethnic Studies,100%,1.3,4,UC San Diego
9d001a8e,3.0,3.0,Environment,50%,2,2,UC San Diego
3338c02b,3.5,3.5,Film,50%,2,2,UC San Diego
74e32ddc,3.0,3.0,Mathematics,50%,3.5,2,UC San Diego
220581a7,2.3,2.3,Biological Sciences,31%,3.5,62,UC San Diego
6a220b60,3.8,3.8,Writing,74%,2.1,26,UC San Diego
a8d0fb2d,3.0,3.0,Ethnic Studies,55%,2.6,20,UC San Diego
ae6ad85d,3.4,3.4,Linguistics,34%,2.8,19,UC San Diego
5d12e48a,3.7,3.7,Engineering,65%,4.5,14,UC San Diego
e1c7d494,3.2,3.2,Mathematics,84%,2.5,6,UC San Diego
c3c49a4b,5.0,5.0,Oceanography,100%,4,1,UC San Diego
d60e11b9,4.4,4.4,Mathematics,87%,3,116,UC San Diego
527c11a4,4.1,4.1,Computer Science,75%,3.1,108,UC San Diego
624b11af,2.7,2.7,English,50%,2.2,18,UC San Diego
dc84d39f,3.9,3.9,Writing,77%,3.8,18,UC San Diego
fbe999b3,1.6,1.6,English,20%,4.2,5,UC San Diego
418b31c1,3.3,3.3,Cognitive Science,48%,3.1,212,UC San Diego
7d234b59,4.9,4.9,Geology,100%,1.6,42,UC San Diego
331e0a37,1.8,1.8,Mathematics,18%,3.9,41,UC San Diego
1c5ef50e,3.0,3.0,Chemistry,57%,3.5,37,UC San Diego
00bf1db3,3.1,3.1,Chemistry,30%,3.5,21,UC San Diego
f19ad685,3.9,3.9,Communication,56%,1.9,16,UC San Diego
6eedb42e,5.0,5.0,Chemistry,100%,3,14,UC San Diego
217581ee,3.6,3.6,Music,72%,1.7,10,UC San Diego
54a17c38,2.5,2.5,Chemistry,38%,3.4,8,UC San Diego
5cd8c733,4.2,4.2,Cognitive Science,67%,2.5,6,UC San Diego
687c0a77,3.8,3.8,Biology,50%,2.5,4,UC San Diego
9867d0a7,5.0,5.0,Music,100%,1.5,2,UC San Diego
ce468c15,4.0,4.0,Theater,100%,2,1,UC San Diego
3ed2b676,3.3,3.3,Data Science,55%,3.8,106,UC San Diego
42f7bc15,4.5,4.5,Psychology,95%,2.2,37,UC San Diego
f3cc434f,3.4,3.4,Sociology,56%,1.9,18,UC San Diego
e42c5267,3.0,3.0,Physics,50%,3.5,14,UC San Diego
98f276b2,5.0,5.0,History,100%,3,4,UC San Diego
362bf8c5,4.2,4.2,Management,74%,2.3,118,UC San Diego
907a556c,3.9,3.9,Mathematics,74%,2.9,92,UC San Diego
a55e5ffd,3.2,3.2,International Studies,47%,3.2,30,UC San Diego
717402aa,3.1,3.1,Chemistry,44%,4.1,20,UC San Diego
0e7797e6,2.6,2.6,Chemistry,42%,3.8,13,UC San Diego
5333fce0,4.9,4.9,Theater,100%,1.3,9,UC San Diego
0290eeaf,4.7,4.7,Mathematics,84%,4.7,6,UC San Diego
5c4d7f98,4.0,4.0,Religion,69%,2.2,82,UC San Diego
f44494d1,2.9,2.9,Computer Science,42%,3.4,14,UC San Diego
a8a724b3,3.7,3.7,Mathematics,72%,4.4,7,UC San Diego
90d597e4,2.9,2.9,Physics,60%,3.3,103,UC San Diego
21e8217b,5.0,5.0,Finance,100%,4.9,54,UC San Diego
863e3a7d,2.3,2.3,Mathematics,25%,3.9,33,UC San Diego
ca91345e,4.6,4.6,Geophysics,95%,1.4,73,UC San Diego
23ae66be,2.1,2.1,Biology,15%,3.6,7,UC San Diego
4cd434a7,5.0,5.0,Political Science,100%,2,2,UC San Diego
b47bc6aa,4.1,4.1,Chemistry,79%,3.2,93,UC San Diego
db2efd92,3.8,3.8,Political Science,50%,3.4,80,UC San Diego
c631c85a,3.8,3.8,Psychology,76%,2.9,61,UC San Diego
717979b9,3.3,3.3,History,48%,2.2,58,UC San Diego
4c192381,4.2,4.2,Mathematics,93%,3.3,49,UC San Diego
5a8457a5,4.4,4.4,Chemistry,85%,3,45,UC San Diego
02dad280,4.8,4.8,Anthropology,100%,1.4,21,UC San Diego
4518119e,3.0,3.0,History,37%,3.9,21,UC San Diego
6d91d22c,3.3,3.3,Computer Science,58%,3.9,19,UC San Diego
52d82171,3.9,3.9,Languages,100%,2.4,17,UC San Diego
0d645bdf,1.6,1.6,Urban Planning,10%,3.9,11,UC San Diego
5d9d67b8,4.1,4.1,Mathematics,75%,2.1,8,UC San Diego
25d68d93,3.2,3.2,Anthropology,60%,2,5,UC San Diego
242f07d8,5.0,5.0,Political Science,100%,2,1,UC San Diego
9cff79b2,1.0,1.0,Sociology,0%,1,1,UC San Diego
66c7789c,4.1,4.1,Psychology,77%,3.2,140,UC San Diego
a0882a57,2.7,2.7,History,29%,3.8,66,UC San Diego
623b5219,3.7,3.7,Computer Science,63%,3.8,49,UC San Diego
6923a1ed,4.7,4.7,Cognitive Science,93%,2.6,40,UC San Diego
21f03a6d,4.9,4.9,Psychology,98%,2.3,35,UC San Diego
7fec0011,2.7,2.7,Engineering,29%,4.3,24,UC San Diego
8f2391dc,3.1,3.1,Accounting,60%,3.2,23,UC San Diego
21af555d,3.9,3.9,Mathematics,86%,2.7,21,UC San Diego
7732a3f2,4.8,4.8,Management,100%,1.9,18,UC San Diego
a68954d5,4.6,4.6,Writing,87%,3.1,15,UC San Diego
ca6d1e5e,2.7,2.7,Accounting,43%,4,14,UC San Diego
6527c8bf,3.6,3.6,Communication,77%,3.3,13,UC San Diego
ca421933,3.3,3.3,Literature,70%,3.2,13,UC San Diego
0a694203,3.3,3.3,Philosophy,42%,3.8,12,UC San Diego
602f62f1,4.9,4.9,Oceanography,100%,1.8,12,UC San Diego
c2d8092a,3.7,3.7,English,73%,2.5,11,UC San Diego
f16233ef,2.3,2.3,Business,25%,4,4,UC San Diego
d32c3c9c,5.0,5.0,History,100%,1.8,4,UC San Diego
6da71dd2,4.1,4.1,Engineering,50%,3.5,53,UC San Diego
4caaef0f,4.4,4.4,Computer Science,100%,2.8,41,UC San Diego
acc7b1ac,5.0,5.0,Chemistry,100%,2,2,UC San Diego
4ebf2e7d,5.0,5.0,Psychology,100%,2.5,2,UC San Diego
5b808fe5,3.3,3.3,Biology,47%,3,96,UC San Diego
130e75e2,3.4,3.4,Chemistry,32%,2.6,87,UC San Diego
dddda5a2,3.9,3.9,Biological Sciences,68%,3.9,78,UC San Diego
7d28c148,3.5,3.5,Writing,60%,3.8,43,UC San Diego
01f3a813,3.9,3.9,Computer Science,67%,2.5,24,UC San Diego
07296fa5,3.2,3.2,Computer Science,50%,3.3,20,UC San Diego
01013025,1.9,1.9,Mathematics,17%,4.5,12,UC San Diego
e986c2b4,5.0,5.0,Management,100%,1.2,9,UC San Diego
44d8aaa5,4.5,4.5,Human Development,100%,3.2,6,UC San Diego
3cd50fd8,2.4,2.4,Mathematics,24%,3.9,86,UC San Diego
a6c0429d,5.0,5.0,Cognitive Science,100%,2,2,UC San Diego
aa008ec0,4.1,4.1,Political Science,64%,3.2,112,UC San Diego
f690bb43,3.9,3.9,Political Science,64%,2.5,11,UC San Diego
2bd7f7fb,4.8,4.8,Languages,100%,1.5,10,UC San Diego
f9b2237b,3.7,3.7,Literature,72%,3.1,44,UC San Diego
254cb09f,3.6,3.6,Psychology,69%,3.3,22,UC San Diego
13c75540,2.3,2.3,Business,27%,3,20,UC San Diego
8d96a0fe,2.3,2.3,Physics,47%,4.5,18,UC San Diego
96c437a7,3.1,3.1,Cognitive Science,59%,2.9,52,UC San Diego
7741143b,2.6,2.6,Mathematics,34%,3.4,39,UC San Diego
290deb19,3.6,3.6,Management,73%,2.6,11,UC San Diego
0d32f649,3.4,3.4,Visual Arts,43%,2.6,7,UC San Diego
38648755,5.0,5.0,Political Science,100%,2.3,4,UC San Diego
5add9446,2.8,2.8,Mathematics,39%,4.1,71,UC San Diego
e77a7d21,3.0,3.0,Psychology,36%,3.6,57,UC San Diego
f7b33411,4.1,4.1,Mathematics,80%,3.1,45,UC San Diego
bde80e7d,2.8,2.8,Computer Science,34%,4.8,44,UC San Diego
5d5f7ce0,2.6,2.6,Physics,37%,4,34,UC San Diego
a71d7881,3.7,3.7,Mathematics,67%,3.7,30,UC San Diego
cc7bd40c,4.0,4.0,Mathematics,80%,4,15,UC San Diego
0830037b,4.2,4.2,Engineering,100%,3,7,UC San Diego
810e23c3,4.5,4.5,Languages,50%,2.5,2,UC San Diego
68bbd254,4.7,4.7,Political Science,100%,2.1,101,UC San Diego
eb8e93ca,4.2,4.2,Psychology,73%,2.8,48,UC San Diego
92fd88eb,3.8,3.8,Chemistry,100%,2.3,16,UC San Diego
80fa3efb,5.0,5.0,Mathematics,100%,3.6,9,UC San Diego
64e0390d,3.8,3.8,Communication,67%,3.6,9,UC San Diego
c5b93abd,4.3,4.3,Theater,84%,2,6,UC San Diego
3e37e199,4.8,4.8,Philosophy,100%,2.8,5,UC San Diego
433d5875,3.0,3.0,Engineering,50%,3.5,2,UC San Diego
d2735f07,4.3,4.3,Chemistry,80%,3.2,170,UC San Diego
a5427f77,4.1,4.1,History,80%,2.7,114,UC San Diego
be675547,4.7,4.7,Economics,100%,2.3,3,UC San Diego
61de7e8b,3.8,3.8,Political Science,85%,3.3,68,UC San Diego
aa517a17,4.8,4.8,History,97%,2.6,33,UC San Diego
63c4cdc7,4.4,4.4,Chemistry,86%,3.4,27,UC San Diego
4e11fa11,3.9,3.9,Mathematics,75%,3,16,UC San Diego
08db7f2f,3.5,3.5,Environment,75%,2.9,8,UC San Diego
c2ea86ca,3.6,3.6,Languages,67%,3.1,7,UC San Diego
32ebd90f,4.0,4.0,Philosophy,100%,2,1,UC San Diego
a53d4110,3.0,3.0,Biology,56%,3.1,76,UC San Diego
7be51389,3.5,3.5,Literature,60%,2.5,32,UC San Diego
d348dc12,4.3,4.3,Literature,100%,2,3,UC San Diego
3969e2fa,3.7,3.7,Chemistry,59%,3.3,255,UC San Diego
09a761b7,4.0,4.0,Theater,76%,2,65,UC San Diego
c074ccf8,4.0,4.0,Engineering,76%,3.9,61,UC San Diego
2649e767,4.5,4.5,Ethnic Studies,93%,2.1,36,UC San Diego
1c8903c8,4.2,4.2,History,81%,2.7,27,UC San Diego
b1012a1e,4.1,4.1,Humanities,77%,2.9,26,UC San Diego
3fd30486,1.8,1.8,Public Health,12%,4.3,17,UC San Diego
99d49751,4.6,4.6,Linguistics,100%,1.7,11,UC San Diego
aed83b0e,4.6,4.6,Data Science,88%,2.5,8,UC San Diego
70bcb9af,3.6,3.6,Oceanography,55%,1.7,53,UC San Diego
7d83d770,3.4,3.4,English,61%,2.5,43,UC San Diego
1cf20dd7,3.7,3.7,Biology,74%,4,19,UC San Diego
54032cb2,3.3,3.3,Communication,50%,3.5,4,UC San Diego
67f87f34,3.0,3.0,Writing,100%,2,2,UC San Diego
7d2b72bf,4.2,4.2,Literature,84%,2.1,21,UC San Diego
8e2775fd,3.8,3.8,Electrical Engineering & Computer Science,80%,3,5,UC San Diego
5f0a745f,4.3,4.3,Computer Science,100%,1.7,3,UC San Diego
4b00feb4,3.5,3.5,Sociology,48%,2.4,78,UC San Diego
4e8abdba,4.8,4.8,Data Science,100%,3,19,UC San Diego
81bb881d,1.3,1.3,Management,7%,4.9,16,UC San Diego
eb465151,5.0,5.0,Anthropology,100%,2,2,UC San Diego
c8d3ddd7,1.0,1.0,Engineering,0%,5,1,UC San Diego
